,precision,recall,f1-score,support
10,0.391304347826087,0.4864864864864865,0.43373493975903615,37.0
40,0.4666666666666667,0.3783783783783784,0.417910447761194,37.0
50,0.6341463414634146,0.7027027027027027,0.6666666666666666,37.0
60,0.96875,0.8378378378378378,0.8985507246376812,37.0
1140,0.6111111111111112,0.5945945945945946,0.6027397260273972,37.0
1160,0.5,0.8378378378378378,0.6262626262626263,37.0
1180,0.8181818181818182,0.4864864864864865,0.6101694915254238,37.0
1280,0.6428571428571429,0.24324324324324326,0.35294117647058826,37.0
1281,0.6875,0.5945945945945946,0.6376811594202898,37.0
1300,0.6363636363636364,0.7567567567567568,0.691358024691358,37.0
1301,0.8787878787878788,0.7837837837837838,0.8285714285714286,37.0
1302,0.84375,0.7297297297297297,0.782608695652174,37.0
1320,0.75,0.40540540540540543,0.5263157894736842,37.0
1560,0.6774193548387096,0.5675675675675675,0.6176470588235294,37.0
1920,0.8333333333333334,0.8108108108108109,0.821917808219178,37.0
1940,0.5957446808510638,0.7567567567567568,0.6666666666666666,37.0
2060,0.6585365853658537,0.7297297297297297,0.6923076923076923,37.0
2220,0.8571428571428571,0.8108108108108109,0.8333333333333334,37.0
2280,0.40425531914893614,0.5135135135135135,0.4523809523809524,37.0
2403,0.5,0.5405405405405406,0.5194805194805194,37.0
2462,0.6428571428571429,0.7297297297297297,0.6835443037974683,37.0
2522,0.6923076923076923,0.7297297297297297,0.7105263157894737,37.0
2582,0.5897435897435898,0.6216216216216216,0.6052631578947368,37.0
2583,0.7948717948717948,0.8378378378378378,0.8157894736842105,37.0
2585,0.7,0.5675675675675675,0.6268656716417911,37.0
2705,0.673469387755102,0.8918918918918919,0.7674418604651163,37.0
2905,0.925,1.0,0.961038961038961,37.0
accuracy,0.6646646646646647,0.6646646646646647,0.6646646646646647,0.6646646646646647
macro avg,0.6805222474619937,0.6646646646646646,0.6611005434238214,999.0
weighted avg,0.6805222474619937,0.6646646646646647,0.6611005434238214,999.0
