,precision,recall,f1-score,support
10,0.20833333333333334,0.2702702702702703,0.23529411764705882,37.0
40,0.5333333333333333,0.43243243243243246,0.47761194029850745,37.0
50,0.6530612244897959,0.8648648648648649,0.7441860465116279,37.0
60,0.9428571428571428,0.8918918918918919,0.9166666666666666,37.0
1140,0.6756756756756757,0.6756756756756757,0.6756756756756757,37.0
1160,0.8055555555555556,0.7837837837837838,0.7945205479452054,37.0
1180,0.5135135135135135,0.5135135135135135,0.5135135135135135,37.0
1280,0.45714285714285713,0.43243243243243246,0.4444444444444444,37.0
1281,0.5333333333333333,0.43243243243243246,0.47761194029850745,37.0
1300,0.6590909090909091,0.7837837837837838,0.7160493827160493,37.0
1301,0.825,0.8918918918918919,0.8571428571428571,37.0
1302,0.7894736842105263,0.8108108108108109,0.8,37.0
1320,0.6538461538461539,0.4594594594594595,0.5396825396825397,37.0
1560,0.6774193548387096,0.5675675675675675,0.6176470588235294,37.0
1920,0.7272727272727273,0.8648648648648649,0.7901234567901234,37.0
1940,0.8421052631578947,0.8648648648648649,0.8533333333333334,37.0
2060,0.6571428571428571,0.6216216216216216,0.6388888888888888,37.0
2220,0.825,0.8918918918918919,0.8571428571428571,37.0
2280,0.425,0.4594594594594595,0.44155844155844154,37.0
2403,0.5714285714285714,0.5405405405405406,0.5555555555555556,37.0
2462,0.8214285714285714,0.6216216216216216,0.7076923076923077,37.0
2522,0.7222222222222222,0.7027027027027027,0.7123287671232876,37.0
2582,0.6388888888888888,0.6216216216216216,0.6301369863013698,37.0
2583,0.8,0.8648648648648649,0.8311688311688312,37.0
2585,0.8275862068965517,0.6486486486486487,0.7272727272727273,37.0
2705,0.7272727272727273,0.8648648648648649,0.7901234567901234,37.0
2905,0.9736842105263158,1.0,0.9866666666666667,37.0
accuracy,0.6806806806806807,0.6806806806806807,0.6806806806806807,0.6806806806806807
macro avg,0.6846914191651173,0.6806806806806807,0.6789644076907665,999.0
weighted avg,0.6846914191651173,0.6806806806806807,0.6789644076907665,999.0
